T,CL,CD
0.002065819919517102,0.11707166884444363,0.004623400536503946
0.0027544265593561364,0.11220057498840241,0.004634221960617182
0.0034430331991951706,0.11718508474197223,0.004702547660040845
0.004131639839034204,0.12348154453945162,0.004827494756409181
0.004820246478873238,0.12998008428868515,0.004946364574825481
0.005508853118712272,0.13598866332914128,0.005049298948035135
0.006197459758551306,0.14148727394112207,0.005135037080734718
0.0068860663983903395,0.14654221414896437,0.005207311979716908
0.007574673038229373,0.1511965290259009,0.005268650179171479
0.008263279678068407,0.1554249293647444,0.005321496490351033
0.008951886317907441,0.15926366348172796,0.005359564353291313
0.009640492957746475,0.16295665473423077,0.005394835753458529
0.010329099597585508,0.16637187411406534,0.0054269973436720746
0.011017706237424542,0.16969522932134665,0.005457131532778174
0.011706312877263576,0.17272851955258783,0.005481989183563522
0.01239491951710261,0.1755723830604146,0.005502264428655245
0.013083526156941644,0.17820492503871077,0.005513950844606897
0.013772132796780677,0.18077226819188993,0.005525777715396684
0.014460739436619711,0.18326933232026127,0.005535902720828039
0.015149346076458745,0.18559983046201434,0.005542817702442483
0.01583795271629778,0.18788867355349365,0.005546242909528158
0.016526559356136814,0.190078915738987,0.005547046249637863
0.017215165995975848,0.19225174265558606,0.005547060513547836
0.017903772635814882,0.1942754795857129,0.00554631114967102
0.018592379275653916,0.1963355681806935,0.005542797037930967
0.01928098591549295,0.19827331609583662,0.005539748868335185
0.019969592555331983,0.20020215768306676,0.005534214275980885
0.020658199195171017,0.20202809311808062,0.005528239583932307
0.02134680583501005,0.20385046493225775,0.0055206648718437576
0.022035412474849084,0.2055502660706102,0.005512876782417556
0.022724019114688118,0.20725489682224624,0.005503389020841908
0.023412625754527152,0.2088676762091627,0.005493670448473049
0.024101232394366186,0.2103414886396753,0.005483200904994655
0.02478983903420522,0.2118115295953189,0.005471123492416425
0.025478445674044253,0.21321922220077896,0.005460509851876639
0.026167052313883287,0.2145015251859168,0.005448919696881014
0.02685565895372232,0.2156716086418501,0.005437355014130263
0.027544265593561355,0.21672339466079837,0.005426126105889393
0.02823287223340039,0.21767667945373684,0.0054191809324169666
0.028921478873239422,0.21851876713756593,0.005400624090204973
0.029610085513078456,0.21937549545755966,0.00539260146263195
0.03029869215291749,0.22008025350704316,0.0053798369343732305
0.030987298792756524,0.2207318456534967,0.005363981411837284
0.03167590543259556,0.22137517430319434,0.00535802579414243
0.0323645120724346,0.22195213171061742,0.005346910828127834
0.033053118712273635,0.2225162082824049,0.005336178675894498
0.03374172535211267,0.2230393749455318,0.005321376174654023
0.03443033199195171,0.22354665439021593,0.005311775950106946
0.03511893863179075,0.22404570586637937,0.005301869192521014
0.035807545271629784,0.22452339019318243,0.005292542492677173
0.03649615191146882,0.22495344223209507,0.005284311107333538
0.03718475855130786,0.22536628543280207,0.005275201965735303
0.037873365191146896,0.225758547018306,0.00526623700424197
0.03856197183098593,0.22613598743279076,0.00525918918253773
0.03925057847082497,0.22649020984554377,0.005251635290860489
0.03993918511066401,0.2268322220688141,0.0052435716623777115
0.040627791750503045,0.2271695881151968,0.0052357804148507854
0.04131639839034208,0.22747690605797755,0.005228142258140751
0.04200500503018112,0.227771332972692,0.0052209483956121155
0.04269361167002016,0.2280363011232033,0.005214922379199679
0.043382218309859194,0.22829812089384777,0.0052077967589127215
0.04407082494969823,0.22854371388242775,0.005202027250875693
0.04475943158953727,0.22877695230230227,0.005196164994623896
0.045448038229376306,0.22902124327732298,0.005190569763220883
0.04613664486921534,0.22927722928858085,0.005183392599989118
0.04682525150905438,0.22950318843463774,0.005178275712780997
0.04751385814889342,0.2297000244215127,0.005173247570594272
0.048202464788732455,0.22992053249962796,0.005168309653526845
