r(m),AOA_max(°)
2.618181818181818,0.0
4.834007421150278,0.0
7.008756957328385,0.0
9.14243042671614,2.1313471599493417
11.235027829313543,7.643501131485755
13.286549165120594,9.749536164359927
15.29699443413729,10.73024116873284
17.266363636363636,11.0
19.19465677179963,11.0
21.08187384044527,10.447866422055657
22.928014842300556,9.547309840287566
24.73307977736549,9.0
26.49706864564007,9.0
28.219981447124304,9.0
29.90181818181818,9.0
31.542578849721703,9.0
33.142263450834875,8.78237476917718
34.7008719851577,8.402226348072357
36.218404452690166,8.032096479793136
37.69486085343228,8.0
39.130241187384044,8.0
40.52454545454545,8.027272734636364
41.87777365491651,8.522356220101576
43.18992578849721,9.002411876328388
44.46100185528756,9.467439703316792
45.69100185528756,9.5
46.879925788497204,9.5
48.0277736549165,9.5
49.134545454545446,9.5
50.20024118738404,9.5
51.224860853432276,9.5
52.20840445269016,9.5
53.15087198515769,9.5
54.05226345083487,9.5
54.9125788497217,9.5
55.73181818181817,9.5
56.50998144712429,9.5
57.24706864564006,9.5
57.94307977736548,9.5
58.59801484230055,9.5
59.211873840445264,9.5
59.784656771799625,9.5
60.31636363636363,9.5
60.80699443413729,9.5
61.25654916512059,9.5
61.66502782931354,9.5
62.03243042671613,9.5
62.358756957328374,9.5
62.64400742115026,9.5
62.888181818181806,9.5
