x/c,y/c
1,0.001939
0.99314,0.004112
0.98601,0.006177
0.97863,0.008227
0.97098,0.010325
0.96307,0.012458
0.9549,0.014626
0.94647,0.016844
0.93778,0.019107
0.92882,0.021423
0.91961,0.023788
0.91013,0.026213
0.90039,0.028688
0.89039,0.031215
0.88013,0.033793
0.86961,0.036426
0.85882,0.039117
0.84778,0.041863
0.83647,0.044664
0.8249,0.047516
0.81307,0.050414
0.80098,0.053355
0.78863,0.056336
0.77601,0.059358
0.76314,0.062415
0.75,0.065502
0.73667,0.068601
0.72333,0.071674
0.71,0.074721
0.69667,0.077739
0.68333,0.080721
0.67,0.083659
0.65667,0.086553
0.64333,0.089402
0.63,0.092195
0.61667,0.094923
0.60333,0.097585
0.59,0.100168
0.57667,0.10267
0.56333,0.105091
0.55,0.107415
0.53667,0.109639
0.52333,0.111754
0.51,0.113751
0.49667,0.115618
0.48333,0.117336
0.470001,0.118887
0.45667,0.120266
0.44333,0.121467
0.43,0.122487
0.41667,0.123312
0.40333,0.123938
0.39,0.12436
0.37667,0.124565
0.36333,0.124551
0.35,0.12431
0.33667,0.123848
0.32333,0.123168
0.31,0.122276
0.29667,0.121168
0.28333,0.119839
0.27,0.118294
0.25667,0.116531
0.24342,0.114559
0.23053,0.112428
0.21798,0.110147
0.20579,0.107734
0.19395,0.105199
0.18245,0.102549
0.17131,0.099799
0.16052,0.096958
0.15008,0.09403
0.13999,0.09103
0.13026,0.087963
0.12087,0.084833
0.11183,0.08165
0.10315,0.078425
0.09481,0.075159
0.08683,0.071863
0.079191,0.068541
0.07191,0.065202
0.06498,0.061853
0.0584,0.058501
0.05217,0.055151
0.04629,0.051811
0.04076,0.048487
0.03558,0.045193
0.03075,0.041938
0.02627,0.038736
0.02215,0.035596
0.01837,0.032485
0.01495,0.029395
0.01187,0.0263
0.00915,0.023224
0.00678,0.020167
0.00476,0.017133
0.00309,0.014102
0.00177,0.010942
0.0008,0.007396
0.00018,0.003327
0,0
0.00018,-0.002918
0.0008,-0.005885
0.00177,-0.008641
0.00309,-0.011337
0.00476,-0.01397
0.00678,-0.016563
0.00915,-0.019142
0.01187,-0.021737
0.01495,-0.024377
0.01837,-0.027049
0.02215,-0.029762
0.02627,-0.03248
0.03075,-0.035199
0.03558,-0.037894
0.04076,-0.040558
0.04629,-0.043192
0.05217,-0.045791
0.0584,-0.048359
0.06498,-0.050893
0.07191,-0.053397
0.07919,-0.055868
0.08683,-0.058308
0.09481,-0.060706
0.10315,-0.063061
0.11183,-0.065357
0.12087,-0.067589
0.13026,-0.069746
0.13999,-0.071818
0.15008,-0.073801
0.16052,-0.075683
0.17131,-0.077456
0.18245,-0.07911
0.19395,-0.08063
0.20579,-0.082009
0.21798,-0.083242
0.23053,-0.084316
0.24342,-0.085225
0.25667,-0.085953
0.27,-0.08648
0.28333,-0.086804
0.29667,-0.086932
0.31,-0.086863
0.32333,-0.086602
0.33667,-0.086153
0.35,-0.085528
0.36333,-0.08473
0.37667,-0.083762
0.39,-0.08263
0.40333,-0.081335
0.41667,-0.079871
0.43,-0.078242
0.44333,-0.076441
0.45667,-0.074475
0.47,-0.072345
0.48333,-0.070061
0.49667,-0.06763
0.51,-0.065062
0.52333,-0.062365
0.53667,-0.05955
0.55,-0.05663
0.56333,-0.053611
0.57667,-0.050504
0.59,-0.047323
0.60333,-0.044077
0.61667,-0.040776
0.63,-0.037441
0.64333,-0.034086
0.65667,-0.030727
0.67,-0.027395
0.68333,-0.024106
0.69667,-0.020878
0.71,-0.017736
0.72333,-0.014699
0.73667,-0.011788
0.75,-0.009027
0.76314,-0.006473
0.77601,-0.004155
0.78863,-0.002072
0.80098,-0.000233
0.81307,0.001364
0.8249,0.002728
0.83647,0.003866
0.84778,0.004786
0.85882,0.005499
0.86961,0.006012
0.88013,0.006333
0.89039,0.006478
0.90039,0.006457
0.91013,0.006277
0.91961,0.005952
0.92882,0.005502
0.93778,0.004938
0.94647,0.004281
0.9549,0.003547
0.96307,0.002747
0.97098,0.001892
0.97863,0.00099
0.98601,0.000048
0.99314,-0.000935
1,-0.001939
