r(m),AOA_min(°)
2.618181818181818,0.0
4.834007421150278,0.0
7.008756957328385,0.0
9.14243042671614,-0.7282102796493584
11.235027829313543,-2.611529553257633
13.286549165120594,-2.4345213475544423
15.29699443413729,-1.596508921317788
17.266363636363636,-1.366
19.19465677179963,-1.366
21.08187384044527,-1.5755346928298783
22.928014842300556,-1.9172959156108687
24.73307977736549,-2.3317015994421793
26.49706864564007,-2.865488930725004
28.219981447124304,-3.36567
29.90181818181818,-3.36567
31.542578849721703,-3.36567
33.142263450834875,-3.530919366520693
34.7008719851577,-3.819577467118217
36.218404452690166,-4.100628179998679
37.69486085343228,-4.125
39.130241187384044,-4.125
40.52454545454545,-4.1197818167729086
41.87777365491651,-4.025055843220565
43.18992578849721,-3.9332051943291684
44.46100185528756,-3.8442298700987205
45.69100185528756,-3.838
46.879925788497204,-3.838
48.0277736549165,-3.838
49.134545454545446,-3.838
50.20024118738404,-3.838
51.224860853432276,-3.838
52.20840445269016,-3.838
53.15087198515769,-3.838
54.05226345083487,-3.838
54.9125788497217,-3.838
55.73181818181817,-3.838
56.50998144712429,-3.838
57.24706864564006,-3.838
57.94307977736548,-3.838
58.59801484230055,-3.838
59.211873840445264,-3.838
59.784656771799625,-3.838
60.31636363636363,-3.838
60.80699443413729,-3.838
61.25654916512059,-3.838
61.66502782931354,-3.838
62.03243042671613,-3.838
62.358756957328374,-3.838
62.64400742115026,-3.838
62.888181818181806,-3.838
