t,Zx1,Zy1,Zz1,Rxm1,Rym1,Rxp1,Ryp1,a1,Zx2,Zy2,Zz2,Rxm2,Rym2,Rxp2,Ryp2,a2
0.0,-3.065894294480736e-16,1.2571759903330987e-16,-7.311700638222015e-19,-0.6194311165844328,-0.6194311165844327,0.6194311165844324,0.619431116584433,0.0790599999999999,-3.065894294480736e-16,1.2571759903330987e-16,0.7905999999999994,-0.6194311165844328,-0.6194311165844327,0.6194311165844324,0.619431116584433,0.0790599999999999
0.0255922319516671,-5.496894950205338e-16,-2.642934914732315e-16,0.012059557061608921,-0.6170939855079438,-0.6170939855079447,0.6170939855079436,0.6170939855079436,0.07905999999999992,-7.481338569798199e-17,2.6789737299786025e-17,0.8025962611986523,-0.621753096622498,-0.6217530966224972,0.6217530966224974,0.6217530966224979,0.07906000000000007
0.0511844639033342,-8.561420847953457e-17,-7.371189284618246e-17,0.024194231490220926,-0.614743320469713,-0.614743320469712,0.614743320469713,0.6147433204697124,0.07906,-1.959135146153486e-16,-3.916862128378075e-17,0.8145315884865801,-0.6240562641873285,-0.6240562641873276,0.6240562641873281,0.6240562641873276,0.07906000000000006
0.0767766958550013,-1.3273430912423394e-16,3.9379371800213417e-17,0.03640667285050381,-0.6123792937487141,-0.6123792937487139,0.6123792937487138,0.6123792937487134,0.07906000000000007,-2.2796288490144256e-16,-2.2499503973987e-16,0.826416777340454,-0.6263181412500821,-0.6263181412500827,0.6263181412500816,0.6263181412500827,0.07906000000000017
0.1023689278066684,-1.0632309923256784e-16,-3.2812639054569155e-16,0.0487024203988961,-0.6100066002653569,-0.6100066002653566,0.6100066002653564,0.6100066002653565,0.07906000000000005,-1.35201774784697e-16,-1.9044805431736543e-16,0.8382512428275055,-0.6285880398055201,-0.6285880398055218,0.6285880398055199,0.6285880398055197,0.07905999999999985
0.1279611597583355,-1.8056407702601862e-16,-2.042933854947125e-16,0.06107747587649148,-0.6076318726896636,-0.6076318726896622,0.607631872689662,0.6076318726896626,0.07905999999999985,-6.034375101346812e-17,-1.268477606745606e-16,0.850037084415653,-0.6308306082609807,-0.6308306082609804,0.6308306082609805,0.6308306082609799,0.07905999999999996
0.1535533917100026,-2.6911970258240833e-16,-1.849144132925888e-16,0.07352775027836009,-0.6052513715547049,-0.6052513715547048,0.6052513715547047,0.6052513715547048,0.07906000000000005,-4.932443874048567e-16,-2.280158445865848e-16,0.8617670739162673,-0.6330981324959235,-0.6330981324959236,0.6330981324959235,0.6330981324959226,0.07906
0.1791456236616697,-2.7313372630831155e-16,-4.5920278412299143e-17,0.08604615402176662,-0.6028880689433238,-0.6028880689433244,0.6028880689433236,0.6028880689433243,0.07905999999999992,4.703381876942922e-16,-5.905820558347002e-17,0.8734420648494883,-0.6353479181193621,-0.6353479181193626,0.6353479181193625,0.635347918119362,0.07905999999999977
0.2047378556133368,-5.165620948339458e-16,-1.0230267535114244e-16,0.09861912862981757,-0.6005169206686256,-0.6005169206686259,0.6005169206686252,0.6005169206686263,0.07905999999999994,-1.2737185067602175e-16,-1.816372515444854e-16,0.8850377555753041,-0.6376146434608057,-0.6376146434608048,0.6376146434608059,0.637614643460805,0.07906000000000002
0.2303300875650039,-7.006240119007827e-17,-5.986133366179794e-17,0.11125224214688471,-0.5981507162712213,-0.5981507162712225,0.5981507162712223,0.5981507162712218,0.07906000000000013,-4.552181247462878e-16,4.782819182186932e-17,0.8965570227035016,-0.6398708393973197,-0.6398708393973191,0.6398708393973186,0.639870839397319,0.07905999999999987
0.255922319516671,2.431220988305268e-16,7.863444914555973e-17,0.12393742959402775,-0.5957657163223231,-0.5957657163223238,0.5957657163223234,0.5957657163223231,0.0790599999999999,-6.161840934293619e-16,-2.1556417641217482e-17,0.9080022372222203,-0.6421149946670816,-0.6421149946670802,0.6421149946670818,0.642114994667081,0.07906000000000005
0.2815145514683381,-4.968845708986143e-16,7.422209716003616e-17,0.13670115000094601,-0.5933440119690215,-0.5933440119690218,0.5933440119690216,0.5933440119690218,0.07905999999999976,-2.153350124478336e-16,-1.882948925213594e-16,0.9193906344360682,-0.6443457642151523,-0.6443457642151516,0.6443457642151504,0.6443457642151516,0.07906000000000007
0.3071067834200052,-2.543690635176024e-16,1.0255340213812624e-16,0.14953981547445067,-0.5909120593149364,-0.5909120593149363,0.5909120593149371,0.5909120593149355,0.07906000000000005,-6.618823847690825e-16,2.4415450768559647e-17,0.9307198030558406,-0.6465534715609298,-0.6465534715609295,0.6465534715609301,0.64655347156093,0.07905999999999999
0.3326990153716723,-2.408424224672156e-16,-1.6515171698606187e-16,0.16246713664456325,-0.5884477192502257,-0.5884477192502244,0.5884477192502249,0.5884477192502255,0.07905999999999994,-4.237929012986965e-16,-2.099696458633994e-16,0.9420094760563262,-0.6487506861427971,-0.6487506861427944,0.6487506861427964,0.6487506861427956,0.07905999999999991
0.3582912473233394,-3.0786017893286526e-16,-1.427730583464576e-16,0.17548840180681782,-0.585975301369885,-0.5859753013698847,0.5859753013698845,0.585975301369885,0.07905999999999994,-5.153940041407705e-16,-4.251228597816233e-17,0.953255848948863,-0.6509285910865004,-0.6509285910865,0.6509285910865008,0.6509285910864998,0.07905999999999988
0.3838834792750065,-7.185097376833321e-17,6.789451811486696e-17,0.1885985862993953,-0.583495731243168,-0.5834957312431688,0.5834957312431673,0.5834957312431683,0.07906000000000005,-5.369766183365915e-16,-1.4099961015813034e-16,0.9644638360656129,-0.6531347570151372,-0.6531347570151377,0.6531347570151373,0.6531347570151385,0.07905999999999992
