t,Zx1,Zy1,Zz1,R1,a1,Zx2,Zy2,Zz2,R2,a2
0.0,-3.065894294480736e-16,1.2571759903330987e-16,-7.311700638222015e-19,0.789731807528527,0.0790599999999999,-3.065894294480736e-16,1.2571759903330987e-16,0.7905999999999994,0.789731807528527,0.0790599999999999
0.0255922319516671,-5.496894950205338e-16,-2.642934914732315e-16,0.012059557061608921,0.7867753400376765,0.07905999999999992,-7.481338569798199e-17,2.6789737299786025e-17,0.8025962611986523,0.792673995145814,0.07906000000000007
0.0511844639033342,-8.561420847953457e-17,-7.371189284618246e-17,0.024194231490220926,0.7838072790382401,0.07906,-1.959135146153486e-16,-3.916862128378075e-17,0.8145315884865801,0.7956143067415872,0.07906000000000006
0.0767766958550013,-1.3273430912423394e-16,3.9379371800213417e-17,0.03640667285050381,0.7808332051370017,0.07906000000000007,-2.2796288490144256e-16,-2.2499503973987e-16,0.826416777340454,0.7985410721768582,0.07906000000000017
0.1023689278066684,-1.0632309923256784e-16,-3.2812639054569155e-16,0.0487024203988961,0.7778381708833891,0.07906000000000005,-1.35201774784697e-16,-1.9044805431736543e-16,0.8382512428275055,0.8014681502329065,0.07905999999999985
0.1279611597583355,-1.8056407702601862e-16,-2.042933854947125e-16,0.06107747587649148,0.7748356215702785,0.07905999999999985,-6.034375101346812e-17,-1.268477606745606e-16,0.850037084415653,0.8043772886844366,0.07905999999999996
0.1535533917100026,-2.6911970258240833e-16,-1.849144132925888e-16,0.07352775027836009,0.7718101490176603,0.07906000000000005,-4.932443874048567e-16,-2.280158445865848e-16,0.8617670739162673,0.8072819755832312,0.07906
0.1791456236616697,-2.7313372630831155e-16,-4.5920278412299143e-17,0.08604615402176662,0.7687745542910438,0.07905999999999992,4.703381876942922e-16,-5.905820558347002e-17,0.8734420648494883,0.8101647702374514,0.07905999999999977
0.2047378556133368,-5.165620948339458e-16,-1.0230267535114244e-16,0.09861912862981757,0.7657199431556733,0.07905999999999994,-1.2737185067602175e-16,-1.816372515444854e-16,0.8850377555753041,0.8130413761672054,0.07906000000000002
0.2303300875650039,-7.006240119007827e-17,-5.986133366179794e-17,0.11125224214688471,0.7626541378342805,0.07906000000000013,-4.552181247462878e-16,4.782819182186932e-17,0.8965570227035016,0.8159009705237573,0.07905999999999987
0.255922319516671,2.431220988305268e-16,7.863444914555973e-17,0.12393742959402775,0.7595736484036665,0.0790599999999999,-6.161840934293619e-16,-2.1556417641217482e-17,0.9080022372222203,0.8187566073797267,0.07906000000000005
0.2815145514683381,-4.968845708986143e-16,7.422209716003616e-17,0.13670115000094601,0.7564822624396178,0.07905999999999976,-2.153350124478336e-16,-1.882948925213594e-16,0.9193906344360682,0.821604180232432,0.07906000000000007
0.3071067834200052,-2.543690635176024e-16,1.0255340213812624e-16,0.14953981547445067,0.7533797241326551,0.07906000000000005,-6.618823847690825e-16,2.4415450768559647e-17,0.9307198030558406,0.8244485319545618,0.07905999999999999
0.3326990153716723,-2.408424224672156e-16,-1.6515171698606187e-16,0.16246713664456325,0.7502650373413838,0.07905999999999994,-4.237929012986965e-16,-2.099696458633994e-16,0.9420094760563262,0.8272892130902636,0.07905999999999991
0.3582912473233394,-3.0786017893286526e-16,-1.427730583464576e-16,0.17548840180681782,0.7471360959150798,0.07905999999999994,-5.153940041407705e-16,-4.251228597816233e-17,0.953255848948863,0.8301222591716557,0.07905999999999988
0.3838834792750065,-7.185097376833321e-17,6.789451811486696e-17,0.1885985862993953,0.7439906483614876,0.07906000000000005,-5.369766183365915e-16,-1.4099961015813034e-16,0.9644638360656129,0.8329523963732371,0.07905999999999992
0.4094757112266736,2.1079957966382062e-17,-5.114386155964647e-17,0.20180362980630762,0.7408274458456788,0.07905999999999994,-2.97082098856843e-17,-1.4101606913121488e-16,0.9756231370613104,0.8357739464862645,0.07905999999999998
0.4350679431783407,-4.531410252605334e-16,-8.608922105349155e-17,0.21509159663362346,0.7376437839842253,0.0790599999999998,2.87655284497946e-17,-2.4294543456455097e-16,0.9867260117870243,0.8385891777746403,0.0790600000000001
0.4606601751300078,-1.0249876144829433e-16,6.692837476966549e-17,0.2284501402612354,0.7344390377467459,0.07906000000000005,-7.638339958493345e-17,-7.896364310978643e-17,0.9977690804986213,0.8413956197008082,0.07906000000000005
0.4862524070816749,-7.325911245827816e-17,-4.778486742364003e-17,0.24186607262088813,0.7312128510932873,0.07906000000000013,1.11009290183254e-16,7.184274709414489e-17,1.0087340675722547,0.8441916054301197,0.07905999999999999
0.511844639033342,-2.518324883018045e-16,-8.083497328710822e-17,0.2553538632988041,0.7279654865019904,0.07906000000000005,-2.06822417852742e-17,-1.6989238592634388e-16,1.0196215551728138,0.8469798064103621,0.07906000000000003
0.537436870985009,-2.353270989460202e-17,-3.2409605525730375e-17,0.2689169296900286,0.7246985708826552,0.07905999999999999,-7.129112740935491e-16,-3.243708031507464e-17,1.0304399362960974,0.8497603392863665,0.07906000000000014
0.5630291029366761,-1.7215082192326843e-17,-1.277603318195494e-16,0.2825634622959534,0.7214131885238904,0.07905999999999988,-1.0881753048048998e-16,-2.849672654499059e-16,1.0412021499551214,0.8525374768135767,0.0790600000000001
0.5886213348883431,-2.0591664803757832e-16,-1.0758015713356702e-16,0.2963109681774011,0.7181089226525724,0.07906000000000003,-2.1905188156328177e-16,-2.66603567761902e-16,1.0519195946180713,0.8553135613069192,0.07906000000000006
