r/R,y/R (y-distance of LE from the middle point of hub)
0.045503175,0.014055556
0.088888889,0.015293651
0.132274603,0.016535714
0.186507937,0.018083333
0.251587302,0.018460318
0.316666667,0.017690476
0.381746032,0.016861111
0.446825397,0.015900794
0.511904762,0.014873016
0.576984127,0.013896826
0.642063492,0.012920635
0.707142857,0.011944445
0.772222222,0.010968254
0.837301587,0.009992064
0.891534921,0.009178572
0.934920635,0.008277778
0.978306349,0.005630953
