ref age (deg),T,DT,RPM_1,CT_1,CQ_1,eta_1
0.0,0.0,0.13774104683195593,12.1,-0.038028489041474316,0.0021018176234248857,-1.2919162441833036
10.0,0.13774104683195593,0.13774104683195593,12.1,-0.03766014806623666,0.0020680680105832684,-1.3002819210515013
20.0,0.27548209366391185,0.13774104683195593,12.1,-0.03607877836946331,0.0019291708734121883,-1.3353694778519138
30.0,0.4132231404958678,0.13774104683195593,12.1,-0.03556314686671277,0.0018824846386462407,-1.3489289030326168
40.0,0.5509641873278237,0.13774104683195593,12.1,-0.03545796467066365,0.001873377261302602,-1.351477676070208
50.0,0.6887052341597797,0.13774104683195593,12.1,-0.03557792639437314,0.0018838755952085904,-1.3484931048718605
60.00000000000001,0.8264462809917357,0.13774104683195593,12.1,-0.035751667740438184,0.0018987869591060788,-1.3444367741704888
70.00000000000001,0.9641873278236917,0.13774104683195593,12.1,-0.03594473690628087,0.0019155905494773434,-1.3398400065077989
80.00000000000001,1.1019283746556476,0.13774104683195593,12.1,-0.036117002828917215,0.0019313814997075635,-1.3352542041205924
90.00000000000003,1.2396694214876036,0.13774104683195593,12.1,-0.036201029907565754,0.001940403996742181,-1.33213759113691
100.00000000000003,1.3774104683195596,0.13774104683195593,12.1,-0.03614561842944938,0.0019379509429243897,-1.3317821767100213
110.00000000000003,1.5151515151515156,0.13774104683195593,12.1,-0.03584524982536088,0.0019141096510807737,-1.3371653571020956
120.00000000000004,1.6528925619834716,0.13774104683195593,12.1,-0.035270997826061266,0.0018652779269329215,-1.3501888372333992
130.00000000000003,1.7906336088154275,0.13774104683195593,12.1,-0.034516574997598526,0.001800567380604813,-1.3687957084917863
140.00000000000003,1.9283746556473835,0.13774104683195593,12.1,-0.033862674787350715,0.001746331499383145,-1.3845699128144895
150.00000000000003,2.0661157024793395,0.13774104683195593,12.1,-0.03344853371659266,0.0017142949020366087,-1.3931948764379183
160.00000000000003,2.2038567493112953,0.13774104683195593,12.1,-0.03326738760079564,0.0017027128148409563,-1.3950751779650057
170.0,2.341597796143251,0.13774104683195593,12.1,-0.03324976369940762,0.001705083784150351,-1.392397250296053
180.0,2.479338842975207,0.13774104683195593,12.1,-0.03329200609646377,0.001711982458774914,-1.3885482418750408
190.0,2.6170798898071626,0.13774104683195593,12.1,-0.03335561998115235,0.0017203706964786778,-1.3844181958549566
199.99999999999997,2.7548209366391183,0.13774104683195593,12.1,-0.03341398539346379,0.0017281537750791823,-1.3805947322461773
209.99999999999994,2.892561983471074,0.13774104683195593,12.1,-0.033374565498701096,0.0017279292370993471,-1.3791451776292587
219.99999999999997,3.03030303030303,0.13774104683195593,12.1,-0.03328387100649726,0.0017222624238284914,-1.3799228998909745
229.99999999999994,3.1680440771349856,0.13774104683195593,12.1,-0.03306180577691037,0.0017053904758865352,-1.3842771653565678
239.99999999999994,3.3057851239669414,0.13774104683195593,12.1,-0.03278808451730267,0.0016833330254029733,-1.3908052451266968
249.99999999999991,3.443526170798897,0.13774104683195593,12.1,-0.03250547230475816,0.0016602022396189585,-1.398027786327966
259.99999999999994,3.581267217630853,0.13774104683195593,12.1,-0.03226334452670824,0.0016412006664271231,-1.4036796996759335
269.9999999999999,3.7190082644628086,0.13774104683195593,12.1,-0.03209907272167116,0.001628736479493857,-1.4072199422672302
279.9999999999999,3.8567493112947644,0.13774104683195593,12.1,-0.03204015889447011,0.0016251372435129555,-1.4077480547521641
289.9999999999999,3.99449035812672,0.13774104683195593,12.1,-0.03200459947740865,0.0016238439637580706,-1.4073056110360316
299.9999999999999,4.132231404958676,0.13774104683195593,12.1,-0.03200048652181675,0.0016249649271109724,-1.4061540674164386
309.9999999999999,4.269972451790633,0.13774104683195593,12.1,-0.03201150329341541,0.0016272023149072543,-1.404704048327528
319.99999999999994,4.407713498622589,0.13774104683195593,12.1,-0.031990455175816404,0.0016264795704150079,-1.4044042167222006
329.99999999999994,4.545454545454545,0.13774104683195593,12.1,-0.031932819278653726,0.0016225749368820905,-1.4052474882626198
340.0,4.683195592286501,0.13774104683195593,12.1,-0.03187807262907505,0.0016184620783769037,-1.4064031992028874
350.0,4.820936639118457,0.13774104683195593,12.1,-0.03178709026017208,0.0016112858516778808,-1.4086350790235151
360.0,4.958677685950414,0.13774104683195593,12.1,-0.031684843390875336,0.0016030469613570553,-1.4113204600157767
370.0,5.09641873278237,0.13774104683195593,12.1,-0.03160453917670544,0.0015964238695585957,-1.4135838264560112
380.00000000000006,5.234159779614326,0.13774104683195593,12.1,-0.03151417254016347,0.0015891447487172215,-1.4159984216108046
390.0000000000001,5.371900826446282,0.13774104683195593,12.1,-0.031455737233004766,0.0015847129165680754,-1.4173254594578535
400.0000000000001,5.509641873278238,0.13774104683195593,12.1,-0.03142703829776938,0.0015828273205535342,-1.4177192452796294
410.0000000000001,5.647382920110195,0.13774104683195593,12.1,-0.031393400801922496,0.001580446932076746,-1.4183348199490107
420.00000000000017,5.785123966942151,0.13774104683195593,12.1,-0.031408769256008086,0.00158235178681755,-1.417320912459108
430.0000000000001,5.922865013774107,0.13774104683195593,12.1,-0.03135788014033171,0.0015788646247256687,-1.4181498371968446
440.00000000000017,6.060606060606063,0.13774104683195593,12.1,-0.03132614458122785,0.001576845490401894,-1.4185286953379983
450.00000000000017,6.198347107438019,0.13774104683195593,12.1,-0.031285374262880895,0.0015736305636924162,-1.419576791963346
460.0000000000002,6.336088154269976,0.13774104683195593,12.1,-0.031244693442114353,0.0015701277286347534,-1.4208937452667532
