ref age (deg),T,DT,RPM_1,CT_1,CQ_1,CP_1
0.0,0.0,0.13774104683195593,12.1,-0.8734149891177806,0.11286139657216354,0.7903056857637084
10.0,0.13774104683195593,0.13774104683195593,12.1,-0.8690654024519334,0.11003279905324775,0.7704985881215406
20.0,0.27548209366391185,0.13774104683195593,12.1,-0.8659182844241032,0.10819291230338565,0.7576148829420856
30.0,0.4132231404958678,0.13774104683195593,12.1,-0.8645194530926463,0.10719088979343915,0.7505982757502048
40.0,0.5509641873278237,0.13774104683195593,12.1,-0.8635418860207137,0.10649009163230361,0.7456909753965003
50.0,0.6887052341597797,0.13774104683195593,12.1,-0.8628171798593235,0.10591493380500376,0.7416634645297893
60.00000000000001,0.8264462809917357,0.13774104683195593,12.1,-0.8621679955826491,0.10541209458901278,0.7381423607379489
70.00000000000001,0.9641873278236917,0.13774104683195593,12.1,-0.8612482514162596,0.10491680744027353,0.7346741398792425
80.00000000000001,1.1019283746556476,0.13774104683195593,12.1,-0.860189919489259,0.1043785824736816,0.7309052493264342
90.00000000000003,1.2396694214876036,0.13774104683195593,12.1,-0.8588515820190944,0.10378987979622449,0.7267828913958269
100.00000000000003,1.3774104683195596,0.13774104683195593,12.1,-0.8569370021168345,0.10308017857039693,0.7218132478241528
110.00000000000003,1.5151515151515156,0.13774104683195593,12.1,-0.8542431425154366,0.10216609474129223,0.7154124263799118
120.00000000000004,1.6528925619834716,0.13774104683195593,12.1,-0.8510110033693136,0.10110055414032568,0.7079510372696192
130.00000000000003,1.7906336088154275,0.13774104683195593,12.1,-0.8475264734949087,0.09994905300326187,0.6998877142608256
140.00000000000003,1.9283746556473835,0.13774104683195593,12.1,-0.8446524868002931,0.09895632436049967,0.6929361868597465
150.00000000000003,2.0661157024793395,0.13774104683195593,12.1,-0.8424764890320801,0.0981580137953107,0.6873460612912516
160.00000000000003,2.2038567493112953,0.13774104683195593,12.1,-0.8403917276007796,0.09745169494030277,0.6824001025841223
170.0,2.341597796143251,0.13774104683195593,12.1,-0.8385489388497968,0.09684387569753196,0.6781438819624749
180.0,2.479338842975207,0.13774104683195593,12.1,-0.8369356849660511,0.09635177041444237,0.6746979419419525
190.0,2.6170798898071626,0.13774104683195593,12.1,-0.8353017544903669,0.09591633471823163,0.6716488275684671
199.99999999999997,2.7548209366391183,0.13774104683195593,12.1,-0.8336116724587734,0.09541839423022803,0.6681620268483504
209.99999999999994,2.892561983471074,0.13774104683195593,12.1,-0.8316710193244377,0.09499386536537234,0.6651892869580395
219.99999999999997,3.03030303030303,0.13774104683195593,12.1,-0.8299252884935165,0.09452693028037626,0.661919599857198
229.99999999999994,3.1680440771349856,0.13774104683195593,12.1,-0.8274552429334807,0.09391128475897867,0.657608576152433
239.99999999999994,3.3057851239669414,0.13774104683195593,12.1,-0.8255146676526385,0.0934000485974077,0.6540286732137057
249.99999999999991,3.443526170798897,0.13774104683195593,12.1,-0.8236448809721953,0.09286825318184112,0.6503048052362559
259.99999999999994,3.581267217630853,0.13774104683195593,12.1,-0.821465653168648,0.09231802314738471,0.6464518498598725
269.9999999999999,3.7190082644628086,0.13774104683195593,12.1,-0.8199504963749246,0.09184339226956266,0.6431282733955147
279.9999999999999,3.8567493112947644,0.13774104683195593,12.1,-0.8187375498727194,0.09148308050869135,0.6406052102232275
289.9999999999999,3.99449035812672,0.13774104683195593,12.1,-0.817031837420243,0.09103923488845292,0.637497205821993
299.9999999999999,4.132231404958676,0.13774104683195593,12.1,-0.8158739619907767,0.09076608754827081,0.6355845066834604
309.9999999999999,4.269972451790633,0.13774104683195593,12.1,-0.8147161933989365,0.09043868015746558,0.6332918545422211
319.99999999999994,4.407713498622589,0.13774104683195593,12.1,-0.8131987183880826,0.09007696396629239,0.6307589569244411
329.99999999999994,4.545454545454545,0.13774104683195593,12.1,-0.8119391180398646,0.08977424639135469,0.6286391938529209
340.0,4.683195592286501,0.13774104683195593,12.1,-0.8105635449624938,0.08948254009404671,0.6265965366438356
350.0,4.820936639118457,0.13774104683195593,12.1,-0.8089187321523242,0.08903977914645798,0.6234961276028242
360.0,4.958677685950414,0.13774104683195593,12.1,-0.80752335534081,0.08868539834643198,0.6210145956557429
370.0,5.09641873278237,0.13774104683195593,12.1,-0.8061479395216224,0.088427131036913,0.619206093108734
380.00000000000006,5.234159779614326,0.13774104683195593,12.1,-0.8047834466019115,0.08797526934846756,0.6160419566333458
390.0000000000001,5.371900826446282,0.13774104683195593,12.1,-0.803774939395091,0.08771732260639052,0.6142356988421145
400.0000000000001,5.509641873278238,0.13774104683195593,12.1,-0.8028804909179512,0.08749580006829405,0.6126844995241928
410.0000000000001,5.647382920110195,0.13774104683195593,12.1,-0.8019236273663892,0.08723972626662434,0.6108913568945488
420.00000000000017,5.785123966942151,0.13774104683195593,12.1,-0.8010650959803695,0.08704039423347625,0.609495545359902
430.0000000000001,5.922865013774107,0.13774104683195593,12.1,-0.8003777205584216,0.0870065954880918,0.6092588715151659
440.00000000000017,6.060606060606063,0.13774104683195593,12.1,-0.7991546940993037,0.08670987484222369,0.6071811016076926
450.00000000000017,6.198347107438019,0.13774104683195593,12.1,-0.7981838324182723,0.08647147090855369,0.6055116912511819
460.0000000000002,6.336088154269976,0.13774104683195593,12.1,-0.7972823882871551,0.08619535442980307,0.6035782008840825
470.00000000000017,6.473829201101932,0.13774104683195593,12.1,-0.7958929911921193,0.08587676375410125,0.6013472873025953
480.0000000000002,6.611570247933888,0.13774104683195593,12.1,-0.7947816791430993,0.08560512765514278,0.5994451705471262
