x_data,y_data
0.041558441558441565,-0.00028351683102951754
0.07673027652619484,-0.0006112349057722381
0.11125011043378392,-0.0008860646537746668
0.1451179432812086,0.001718016887858088
0.178333775068469,0.0029791632152103434
0.21089760579556496,0.0041382701006916454
0.24280943546249667,0.005230957060657313
0.2740692640692639,0.005229621915157042
0.3046770916158669,0.004829614108728456
0.33463291810230605,0.004563964003943896
0.36393674352858,0.004358966428085455
0.3925885678946907,0.004242541793651647
0.4205883912006363,0.0043141396634963245
0.44793621344641776,0.004388862581295767
0.47463203463203424,0.0042789311955514315
0.5006758547574875,0.0041784936850495155
0.5260676738227762,0.0041424710787210575
0.5508074918278999,0.004123697527173993
0.5748953087728595,0.004080223722953011
0.5983311246576549,0.003972250000349533
0.6211149394822862,0.003878740472935861
0.6432467532467533,0.003901820216547762
0.6647265659510563,0.0037125408243417774
0.6855543775951934,0.0034217461018370703
0.7057301881791674,0.003282440767850478
0.7252539977029775,0.0031896733907645293
0.7441258061666219,0.0030360248718136595
0.7623456135701038,0.002953914976239638
0.77991341991342,0.0028150012464804638
0.7968292251965717,0.002691794196357523
0.8130930294195595,0.0026405185033965837
0.8287048325823827,0.0025543791575219376
0.8436646346850437,0.0023884680799288386
0.8579724357275369,0.002292013762625133
0.8716282357098676,0.0021697057220774777
0.8846320346320343,0.0020524755555530842
0.8969838324940366,0.0019151407165255644
0.9086836292958734,0.001766716192079854
0.9197314250375473,0.0016039423098638407
0.9301272197190565,0.001425757722852108
0.9398710133404012,0.0012727749994322869
0.9489628059015808,0.0010879726474947436
0.9574025974025978,0.0008933597599665192
0.9651903878434495,0.0007043390366005449
0.9723261772241361,0.0005308769047093307
0.9788099655446589,0.0003865006208081547
0.9846417528050179,0.00026002335438583303
0.9898215390052129,0.00016389160888611524
0.9943493241452425,8.741396705810609e-5
0.9982251082251076,2.8704327951929446e-5
