x_data,y_data
0.06818181818181818,-0.32840203889481495
0.1548245614035088,-1.4389848504665368
0.2372636135794029,-1.5903863163703489
0.315498974709501,-1.74481905618973
0.3895306447938028,-1.7308762468960033
0.45935862383230835,-1.8186464143597945
0.524982911825017,-1.8524697889171726
0.58640350877193,-1.9235588205992271
0.6436204146730458,-2.0079972159213493
0.6966336295283665,-1.8455687029895123
0.7454431533378906,-1.8284591168376176
0.7900489861016171,-1.8026064391391015
0.8304511278195479,-1.7981703504619677
0.8666495784916829,-1.70648185764528
0.8986443381180219,-1.5693268131672318
0.9264354066985653,-1.3792923922225484
0.9500227842333109,-1.1111773249039807
0.9694064707222598,-0.7853344677383278
0.9845864661654133,-0.45323331470513945
0.9955627705627702,-0.1853313657739095
