x_data,y_data
0.041558441558441565,-0.47406178967858875
0.07673027652619484,-0.4237504419755817
0.11125011043378392,-0.3098541881278181
0.1451179432812086,-1.3473587606542823
0.178333775068469,-1.713709929372036
0.21089760579556496,-1.6332323378088534
0.24280943546249667,-1.565536859341722
0.2740692640692639,-1.4736111151392823
0.3046770916158669,-1.3618579568738483
0.33463291810230605,-1.2419927682757892
0.36393674352858,-1.1730973888926977
0.3925885678946907,-1.1346934718258348
0.4205883912006363,-1.1373335344049174
0.44793621344641776,-1.1374323666401598
0.47463203463203424,-1.1177408314236883
0.5006758547574875,-1.109354937210087
0.5260676738227762,-1.106110040303249
0.5508074918278999,-1.1206718967994003
0.5748953087728595,-1.120262992140675
0.5983311246576549,-1.1155918551931299
0.6211149394822862,-1.1203366593804738
0.6432467532467533,-1.146536391525187
0.6647265659510563,-1.1076806593347053
0.6855543775951934,-1.0674717904961506
0.7057301881791674,-1.0495523891398861
0.7252539977029775,-1.0381405408812359
0.7441258061666219,-1.04166117658328
0.7623456135701038,-1.041677958940727
0.77991341991342,-1.0398593833890102
0.7968292251965717,-1.031243459280512
0.8130930294195595,-1.0466435391076516
0.8287048325823827,-1.045057889852017
0.8436646346850437,-1.0274619383954398
0.8579724357275369,-1.0125983621004204
0.8716282357098676,-1.0066852962553552
0.8846320346320343,-0.9907211540301114
0.8969838324940366,-0.9637503474523834
0.9086836292958734,-0.9369541230002733
0.9197314250375473,-0.9048618899430778
0.9301272197190565,-0.8667810420986172
0.9398710133404012,-0.8230741747548804
0.9489628059015808,-0.7767389267377043
0.9574025974025978,-0.7103954191903976
0.9651903878434495,-0.6522021960877084
0.9723261772241361,-0.5996049825343102
0.9788099655446589,-0.5313581765049428
0.9846417528050179,-0.460404029965761
0.9898215390052129,-0.37826876079404276
0.9943493241452425,-0.28417391386410257
0.9982251082251076,-0.16077210073088277
