x_data,y_data
0.06818207428330704,-112.28733336231427
0.15482484275242983,-1117.255304525552
0.23726385557816765,-1892.3005521869195
0.31549913954163633,-2760.607688423495
0.38953075595600095,-3381.1465350221865
0.45935868868996965,-4189.444967662421
0.5249829427484126,-4876.998775251085
0.5864035152878683,-5656.637868362205
0.6436204037594323,-6481.10805650158
0.6966336066675682,-6447.494760939068
0.7454431226195395,-6835.277166393737
0.7900489498507857,-7141.85918991906
0.8304510872725953,-7488.610746895011
0.8666495347743619,-7416.543541579047
0.8986442924393876,-7072.2496464458845
0.9264353593352096,-6408.07860778538
0.9500227346797617,-5293.875660574488
0.969406419517997,-3817.832917803358
0.9845864145152753,-2237.8554565001364
0.995562719135487,-925.2815852621633
