x_data,y_data
0.06818181818181818,-9.21370052761132
0.1548245614035088,-9.217104857588117
0.2372636135794029,-9.223555985551723
0.315498974709501,-9.224721128601628
0.3895306447938028,-9.212750096781505
0.45935862383230835,-9.177914472036587
0.524982911825017,-9.124820368911552
0.58640350877193,-9.078783629199116
0.6436204146730458,-9.056548927237081
0.6966336295283665,-9.059353476418643
0.7454431533378906,-9.083085573202805
0.7900489861016171,-9.14461881739219
0.8304511278195479,-9.282444483198569
0.8666495784916829,-9.504823761525756
0.8986443381180219,-9.795459219279126
0.9264354066985653,-10.112911520223982
0.9500227842333109,-10.413618499994547
0.9694064707222598,-10.668514299912824
0.9845864661654133,-10.865744455404434
0.9955627705627702,-11.00362892338122
