ref_turbine_r,ref_turbine_Psi
0.041558442,13.30790063
0.076730277, 13.31022553
0.1112501104337839,13.29535241
0.1451179432812086,13.34868885
0.178333775,13.39212368
0.2108976057955649,12.76434777
0.2428094354624966,11.72677687
0.2740692640692639,10.94249971
0.3046770916158669,10.37601871
0.334632918,9.84424242
0.363936744,9.32997565
0.3925885678946907,8.81365003
0.4205883912006363,8.29312285
0.4479362134464177,7.77374494
0.4746320346320342,7.25846588
0.5006758547574875,6.75579043
0.5260676738227762,6.28114448
0.5508074918278999,5.83304339
0.5748953087728595,5.39881745
0.5983311246576549,4.97347878
0.6211149394822862,4.56004707
0.6432467532467533,4.16729525
0.6647265659510563,3.79656271
0.6855543775951934,3.45071977
0.7057301881791674,3.14515741
0.7252539977029775,2.88017769
0.7441258061666219,2.65173881
0.7623456135701038,2.43667181
0.77991342,2.22671837
0.7968292251965717,2.02167944
0.8130930294195595,1.82280451
0.8287048325823827,1.63134815
0.8436646346850437,1.44806743
0.8579724357275369,1.27278083
0.8716282357098676,1.10572491
0.8846320346320343,0.94702856
0.8969838324940366,0.79673273
0.9086836292958734,0.65452704
0.9197314250375472,0.52411032
0.9301272197190564,0.41538289
0.9398710133404012,0.32671555
0.9489628059015808,0.25598099
0.9574025974025978,0.20065266
0.9651903878434496,0.15832799
0.972326177,0.12689904
0.9788099655446588,0.10445363
0.984641753,0.08924207
0.9898215390052127,0.07968349
0.9943493241452424,0.07437378
0.9982251082251076,0.07208558
