XFOIL & experimental polar
Polar key
Airfoil,NACA64_A17
Reynolds number,750000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
11.50,1.445,0.05145,0.0,-0.1147,0.0,0.0
12.00,1.457,0.06337,0.0,-0.1158,0.0,0.0
12.50,1.469,0.0753,0.0,-0.1165,0.0,0.0
13.00,1.48,0.08722,0.0,-0.1153,0.0,0.0
13.50,1.485,0.09914,0.0,-0.1131,0.0,0.0
14.00,1.484,0.11106,0.0,-0.1112,0.0,0.0
14.50,1.484,0.12299,0.0,-0.1101,0.0,0.0
15.00,1.488,0.13491,0.0,-0.1103,0.0,0.0
15.50,1.493,0.14683,0.0,-0.1109,0.0,0.0
16.00,1.497,0.15876,0.0,-0.1114,0.0,0.0
16.50,1.496,0.17068,0.0,-0.1111,0.0,0.0
17.00,1.493,0.1826,0.0,-0.1097,0.0,0.0
17.50,1.496,0.19453,0.0,-0.1079,0.0,0.0
18.00,1.507,0.20645,0.0,-0.108,0.0,0.0
18.50,1.514,0.21837,0.0,-0.109,0.0,0.0
19.00,1.512,0.23029,0.0,-0.1086,0.0,0.0
19.50,1.505,0.24222,0.0,-0.1077,0.0,0.0
20.00,1.498,0.25414,0.0,-0.1099,0.0,0.0
21.00,1.476,0.27799,0.0,-0.1169,0.0,0.0
22.00,1.44,0.30183,0.0,-0.119,0.0,0.0
23.00,1.387,0.32568,0.0,-0.1235,0.0,0.0
24.00,1.314,0.34952,0.0,-0.1393,0.0,0.0
25.00,1.267,0.3703,0.0,-0.144,0.0,0.0
26.00,1.2196,0.3915,0.0,-0.1486,0.0,0.0
28.00,1.1272,0.4349,0.0,-0.1577,0.0,0.0
30.00,1.0439,0.4798,0.0,-0.1668,0.0,0.0
32.00,0.9769,0.5261,0.0,-0.1759,0.0,0.0
35.00,0.9227,0.5983,0.0,-0.1897,0.0,0.0
40.00,0.9222,0.7225,0.0,-0.2126,0.0,0.0
45.00,0.9026,0.8435,0.0,-0.2344,0.0,0.0
50.00,0.8615,0.9583,0.0,-0.2553,0.0,0.0
55.00,0.8014,1.0646,0.0,-0.2751,0.0,0.0
60.00,0.7248,1.1607,0.0,-0.2939,0.0,0.0
65.00,0.6343,1.2449,0.0,-0.3117,0.0,0.0
70.00,0.5321,1.3162,0.0,-0.3285,0.0,0.0
75.00,0.4206,1.3736,0.0,-0.3444,0.0,0.0
80.00,0.302,1.4164,0.0,-0.3593,0.0,0.0
85.00,0.1786,1.4442,0.0,-0.3731,0.0,0.0
90.00,0.0525,1.4565,0.0,-0.3858,0.0,0.0
