XFOIL & experimental polar
Polar key
Airfoil,DU25_A17
Reynolds number,750000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-180.00,0.0,0.0202,0.0,0.0,0.0,0.0
-175.00,0.3675,0.0324,0.0,0.1845,0.0,0.0
-170.00,0.735,0.0943,0.0,0.3701,0.0,0.0
-160.00,0.6945,0.2848,0.0,0.2679,0.0,0.0
-155.00,0.7768,0.4001,0.0,0.3046,0.0,0.0
-150.00,0.8276,0.5215,0.0,0.3329,0.0,0.0
-145.00,0.8496,0.6447,0.0,0.354,0.0,0.0
-140.00,0.8456,0.766,0.0,0.3693,0.0,0.0
-135.00,0.8184,0.8823,0.0,0.3794,0.0,0.0
-130.00,0.7706,0.9911,0.0,0.3854,0.0,0.0
-125.00,0.7049,1.0905,0.0,0.3878,0.0,0.0
-120.00,0.6239,1.1787,0.0,0.3872,0.0,0.0
-115.00,0.5301,1.2545,0.0,0.3841,0.0,0.0
-110.00,0.4259,1.3168,0.0,0.3788,0.0,0.0
-105.00,0.3135,1.365,0.0,0.3716,0.0,0.0
-100.00,0.1952,1.3984,0.0,0.3629,0.0,0.0
-95.00,0.0733,1.4169,0.0,0.3529,0.0,0.0
-90.00,-0.0502,1.4201,0.0,0.3416,0.0,0.0
-85.00,-0.1732,1.4081,0.0,0.3292,0.0,0.0
-80.00,-0.2935,1.3811,0.0,0.3159,0.0,0.0
-75.00,-0.4091,1.3394,0.0,0.3017,0.0,0.0
-70.00,-0.5178,1.2833,0.0,0.2866,0.0,0.0
-65.00,-0.6174,1.2138,0.0,0.2707,0.0,0.0
-60.00,-0.7056,1.1315,0.0,0.2539,0.0,0.0
-55.00,-0.7801,1.0378,0.0,0.2364,0.0,0.0
-50.00,-0.8386,0.9341,0.0,0.2181,0.0,0.0
-45.00,-0.8785,0.8221,0.0,0.1991,0.0,0.0
-40.00,-0.8975,0.7042,0.0,0.1792,0.0,0.0
-35.00,-0.8929,0.5829,0.0,0.1587,0.0,0.0
-30.00,-0.8622,0.4616,0.0,0.1374,0.0,0.0
-25.00,-0.8029,0.3441,0.0,0.1154,0.0,0.0
-24.00,-0.792,0.3209,0.0,0.1101,0.0,0.0
-23.00,-0.7886,0.2972,0.0,0.1031,0.0,0.0
-22.00,-0.7917,0.273,0.0,0.0947,0.0,0.0
-21.00,-0.8007,0.2485,0.0,0.0849,0.0,0.0
-20.00,-0.8147,0.2237,0.0,0.0739,0.0,0.0
-19.00,-0.8329,0.199,0.0,0.0618,0.0,0.0
-18.00,-0.8544,0.1743,0.0,0.0488,0.0,0.0
-17.00,-0.8786,0.1498,0.0,0.0351,0.0,0.0
-16.00,-0.9045,0.1256,0.0,0.0208,0.0,0.0
-15.00,-0.9315,0.102,0.0,0.006,0.0,0.0
-14.00,-0.9585,0.0789,0.0,-0.0091,0.0,0.0
-13.00,-0.985,0.05665,0.0,-0.02434,0.0,0.0
-12.00,-0.953,0.02713,0.0,-0.0349,0.0,0.0
-11.00,-0.9,0.030259,0.0,-0.03608,0.0,0.0
-10.00,-0.827,0.028691,0.0,-0.0464,0.0,0.0
-9.00,-0.753,0.027142,0.0,-0.05343,0.0,0.0
-8.50,-0.691,0.026364,0.0,-0.065,0.0,0.0
-7.40,-0.555,0.01142,0.0,-0.07817,0.0,0.0
-6.40,-0.413,0.00939,0.0,-0.09036,0.0,0.0
-5.40,-0.271,0.00863,0.0,-0.10059,0.0,0.0
-5.00,-0.22,0.00729,0.0,-0.1107,0.0,0.0
-4.50,-0.152,0.00714,0.0,-0.1135,0.0,0.0
-4.00,-0.084,0.007,0.0,-0.1162,0.0,0.0
-3.50,-0.018,0.00692,0.0,-0.1186,0.0,0.0
-3.00,0.049,0.00684,0.0,-0.1209,0.0,0.0
-2.50,0.115,0.0068,0.0,-0.1231,0.0,0.0
-2.00,0.181,0.00676,0.0,-0.1252,0.0,0.0
-1.50,0.247,0.00673,0.0,-0.1272,0.0,0.0
-1.00,0.312,0.00668,0.0,-0.1293,0.0,0.0
-0.50,0.377,0.00672,0.0,-0.1311,0.0,0.0
0.00,0.442,0.0067,0.0,-0.133,0.0,0.0
0.50,0.507,0.0067,0.0,-0.1347,0.0,0.0
1.00,0.572,0.00673,0.0,-0.1364,0.0,0.0
1.50,0.636,0.00679,0.0,-0.138,0.0,0.0
2.00,0.701,0.00683,0.0,-0.1396,0.0,0.0
2.50,0.765,0.00687,0.0,-0.1411,0.0,0.0
3.00,0.828,0.00698,0.0,-0.1424,0.0,0.0
