XFOIL & experimental polar
Polar key
Airfoil,DU30_A17
Reynolds number,750000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
16.50,1.103,0.13635,0.0,-0.1042,0.0,0.0
17.00,1.088,0.14849,0.0,-0.1084,0.0,0.0
17.50,1.091,0.15915,0.0,-0.1125,0.0,0.0
18.00,1.085,0.16963,0.0,-0.1169,0.0,0.0
18.50,1.085,0.17979,0.0,-0.1215,0.0,0.0
19.00,1.103,0.18969,0.0,-0.1263,0.0,0.0
19.50,1.119,0.19931,0.0,-0.1313,0.0,0.0
20.00,1.131,0.20646,0.0,-0.1352,0.0,0.0
20.50,1.157,0.21593,0.0,-0.1406,0.0,0.0
21.00,1.163,0.22514,0.0,-0.1462,0.0,0.0
22.00,1.1282,0.2461,0.0,-0.1516,0.0,0.0
23.00,1.093,0.2675,0.0,-0.157,0.0,0.0
24.00,1.058,0.2894,0.0,-0.1623,0.0,0.0
25.00,1.024,0.3117,0.0,-0.1676,0.0,0.0
26.00,0.9919,0.3342,0.0,-0.1728,0.0,0.0
28.00,0.9362,0.3802,0.0,-0.1832,0.0,0.0
30.00,0.8971,0.427,0.0,-0.1935,0.0,0.0
32.00,0.8809,0.4743,0.0,-0.2039,0.0,0.0
35.00,0.8935,0.5456,0.0,-0.2193,0.0,0.0
40.00,0.9018,0.6646,0.0,-0.244,0.0,0.0
45.00,0.8869,0.781,0.0,-0.2672,0.0,0.0
50.00,0.8511,0.8923,0.0,-0.2891,0.0,0.0
55.00,0.7969,0.996,0.0,-0.3097,0.0,0.0
60.00,0.7266,1.0904,0.0,-0.329,0.0,0.0
65.00,0.6425,1.1739,0.0,-0.3471,0.0,0.0
70.00,0.5468,1.2453,0.0,-0.3641,0.0,0.0
75.00,0.4417,1.3037,0.0,-0.3799,0.0,0.0
80.00,0.3295,1.3482,0.0,-0.3946,0.0,0.0
85.00,0.212,1.3784,0.0,-0.4081,0.0,0.0
90.00,0.0916,1.3938,0.0,-0.4204,0.0,0.0
95.00,-0.0299,1.3943,0.0,-0.4313,0.0,0.0
100.00,-0.1503,1.3798,0.0,-0.4408,0.0,0.0
105.00,-0.2674,1.3504,0.0,-0.4486,0.0,0.0
110.00,-0.3792,1.3063,0.0,-0.4546,0.0,0.0
115.00,-0.4834,1.2481,0.0,-0.4584,0.0,0.0
120.00,-0.5778,1.1763,0.0,-0.4597,0.0,0.0
125.00,-0.6599,1.0919,0.0,-0.4582,0.0,0.0
130.00,-0.7272,0.9962,0.0,-0.4532,0.0,0.0
135.00,-0.7773,0.8906,0.0,-0.4441,0.0,0.0
140.00,-0.8074,0.7771,0.0,-0.4303,0.0,0.0
145.00,-0.8148,0.6581,0.0,-0.4109,0.0,0.0
150.00,-0.7967,0.5364,0.0,-0.3848,0.0,0.0
155.00,-0.7503,0.4157,0.0,-0.3508,0.0,0.0
160.00,-0.6729,0.3,0.0,-0.3074,0.0,0.0
170.00,-0.5472,0.1051,0.0,-0.2786,0.0,0.0
175.00,-0.2736,0.0388,0.0,-0.138,0.0,0.0
180.00,0.0,0.0267,0.0,0.0,0.0,0.0
